Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity,,,,,,,,,,,,,,,,,,,,,
base_link,-0.048782091362603,0.00265859981853115,-0.000133621517336611,0,0,0,0.05182218018482,1.90439262802243E-05,9.03564688106216E-07,1.72175948456264E-06,2.43365874994035E-05,4.70653917526162E-07,3.58010331710771E-05,0,0,0,0,0,0,package://rohand_urdf_ros2/meshes_l/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://rohand_urdf_ros2/meshes_l/base_link.STL,,镜向六电机灵巧手.STEP-1/镜向5.STEP-1,镜向六电机灵巧手.STEP-1/镜向____________-__.STEP-1/镜向exg_0b_304_hln.STEP-1,镜向六电机灵巧手.STEP-1/镜向7.STEP-1,镜向六电机灵巧手.STEP-1/镜向6.STEP-1,镜向六电机灵巧手.STEP-1/镜向8.STEP-1,镜向六电机灵巧手.STEP-1/镜向9.STEP-1,镜向六电机灵巧手.STEP-1/镜向10.STEP-1,镜向六电机灵巧手.STEP-1/镜向___________2.STEP-1/镜向____.STEP-1,镜向六电机灵巧手.STEP-1/镜向___________2.STEP-1/镜向M1.6______________12.45______.STEP-1,镜向六电机灵巧手.STEP-1/镜向___________2.STEP-1/镜向M1.6______________________.STEP-2,镜向六电机灵巧手.STEP-1/镜向___________2.STEP-1/镜向M1.6______________5.45______ -.STEP-2,镜向六电机灵巧手.STEP-1/镜向___________2.STEP-1/镜向M1.6______________________.STEP-1,镜向六电机灵巧手.STEP-1/镜向M2X8 ________ -.STEP-7,镜向六电机灵巧手.STEP-1/镜向M2X8 ________ -.STEP-6,镜向六电机灵巧手.STEP-1/镜向__________-1.STEP-1/镜向____.STEP-1,镜向六电机灵巧手.STEP-1/镜向M2X8 ________ -.STEP-3,镜向六电机灵巧手.STEP-1/镜向M2X8 ________ -.STEP-4,镜向六电机灵巧手.STEP-1/镜向M2X8 ________ -.STEP-5,镜向六电机灵巧手.STEP-1/镜向__________.STEP-1/镜向____.STEP-1,镜向六电机灵巧手.STEP-1/镜向M2X8 ________ -.STEP-1,镜向六电机灵巧手.STEP-1/镜向M2X8 ________ -.STEP-2,镜向六电机灵巧手.STEP-1/镜向M2X8 ________ -.STEP-8,镜向六电机灵巧手.STEP-1/镜向__________-2.STEP-1/镜向____.STEP-1,镜向六电机灵巧手.STEP-1/镜向__________-1.STEP-1/镜向M1.6______________________.STEP-1,镜向六电机灵巧手.STEP-1/镜向__________-1.STEP-1/镜向M1.6______________5.45______ -.STEP-2,镜向六电机灵巧手.STEP-1/镜向__________-1.STEP-1/镜向M1.6______________12.45______.STEP-2,镜向六电机灵巧手.STEP-1/镜向__________-2.STEP-1/镜向M1.6______________________.STEP-1,镜向六电机灵巧手.STEP-1/镜向__________-2.STEP-1/镜向M1.6______________________.STEP-2,镜向六电机灵巧手.STEP-1/镜向__________-2.STEP-1/镜向M1.6______________5.45______ -.STEP-2,镜向六电机灵巧手.STEP-1/镜向__________-2.STEP-1/镜向M1.6______________12.45______.STEP-1,镜向六电机灵巧手.STEP-1/镜向__________.STEP-1/镜向M1.6______________5.45______ -.STEP-1,镜向六电机灵巧手.STEP-1/镜向__________.STEP-1/镜向M1.6______________________.STEP-1,镜向六电机灵巧手.STEP-1/镜向__________.STEP-1/镜向M1.6______________________.STEP-2,镜向六电机灵巧手.STEP-1/镜向__________.STEP-1/镜向M1.6______________12.45______.STEP-1,base_joint,,,,0,0,0,0,0,0,,0,0,0
if_slider_link,-0.00314570108168869,2.75882189596649E-07,-4.84121109910543E-09,0,0,0,0.000191988555317022,1.26509405946619E-09,1.58432029431042E-13,1.05293553145109E-15,1.58290667016945E-09,3.04767495758574E-11,1.9298815825818E-09,0,0,0,0,0,0,package://rohand_urdf_ros2/meshes_l/if_slider_link.STL,1,1,1,1,0,0,0,0,0,0,package://rohand_urdf_ros2/meshes_l/if_slider_link.STL,,镜向六电机灵巧手.STEP-1/镜向1.STEP-3,if_slider_joint,if_slider_axis,if_slider_link,prismatic,-0.093142,0.028393,-0.006081,0,0,-0.08298,base_link,1,0,0,0,0,-0.003,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
if_slider_abpart_link,-0.0102575899823259,6.32254656893205E-08,-0.00167499723063989,0,0,0,0.000457378818734687,2.4898448343153E-09,-1.07002031944807E-13,-3.31080655152953E-09,1.65925835165026E-08,-5.59245259066447E-14,1.63812574276271E-08,0,0,0,0,0,0,package://rohand_urdf_ros2/meshes_l/if_slider_abpart_link.STL,1,1,1,1,0,0,0,0,0,0,package://rohand_urdf_ros2/meshes_l/if_slider_abpart_link.STL,,镜向六电机灵巧手.STEP-1/镜向20.STEP-3,if_slider_abpart_joint,if_slider_abpart_axis,if_slider_abpart_link,continuous,-0.0071723,0,0,-0.087236,-0.0072229,0.0006317,if_slider_link,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
if_proximal_link,-0.0160191806570642,-9.85142243229327E-05,-0.00754046987606426,0,0,0,0.00155055071205295,6.86607390854575E-08,6.4009261970432E-13,-2.71259693479885E-08,1.54822273449857E-07,2.47485981699666E-12,1.62362361684E-07,0,0,0,0,0,0,package://rohand_urdf_ros2/meshes_l/if_proximal_link.STL,1,1,1,1,0,0,0,0,0,0,package://rohand_urdf_ros2/meshes_l/if_proximal_link.STL,,镜向六电机灵巧手.STEP-1/镜向___________2.STEP-1/镜向________.STEP-1,if_proximal_joint,if_proximal_axis,if_proximal_link,continuous,-0.11269,0.030843,0.0024802,-0.087311,-0.0072291,-0.082399,base_link,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
if_distal_link,-0.0140538112812535,-9.47215526400612E-05,-0.018767824494748,0,0,0,0.00416343809021936,3.83568682612374E-07,3.63724829154677E-12,-2.50539432511372E-07,5.74332962408351E-07,5.30246403629746E-12,2.66484932547531E-07,0,0,0,0,0,0,package://rohand_urdf_ros2/meshes_l/if_distal_link.STL,1,1,1,1,0,0,0,0,0,0,package://rohand_urdf_ros2/meshes_l/if_distal_link.STL,,镜向六电机灵巧手.STEP-1/镜向___________2.STEP-1/镜向____________-____-2.step.STEP-1,镜向六电机灵巧手.STEP-1/镜向___________2.STEP-1/镜向M1.6______________________.STEP-3,镜向六电机灵巧手.STEP-1/镜向___________2.STEP-1/镜向______ - ____.STEP-1,镜向六电机灵巧手.STEP-1/镜向___________2.STEP-1/镜向M1.6______________12.45______.STEP-2,镜向六电机灵巧手.STEP-1/镜向___________2.STEP-1/镜向M1.6______________________.STEP-4,镜向六电机灵巧手.STEP-1/镜向___________2.STEP-1/镜向M1.6______________5.45______ -.STEP-1,if_distal_joint,if_distal_axis,if_distal_link,continuous,-0.034061,0,-0.011405,0.00002578,0,-0.00010194,if_proximal_link,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
if_connecting_link,-0.0115270623875577,-9.99155076033542E-05,-0.012278088629305,0,0,0,0.00024711756965943,1.56882416541916E-08,9.80592909571574E-16,-1.64059842022437E-08,3.38395395293219E-08,7.54686721113984E-16,1.81924842076912E-08,0,0,0,0,0,0,package://rohand_urdf_ros2/meshes_l/if_connecting_link.STL,1,1,1,1,0,0,0,0,0,0,package://rohand_urdf_ros2/meshes_l/if_connecting_link.STL,,镜向六电机灵巧手.STEP-1/镜向___________2.STEP-1/镜向________-0.STEP-1,镜向六电机灵巧手.STEP-1/镜向___________2.STEP-1/镜向________-0.STEP-2,if_connecting_joint,if_connecting_axis,if_connecting_link,continuous,-0.12005,0.031867,0.0068612,-0.08729,-0.0072273,-0.082399,base_link,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mf_slider_link,-0.00314570080755083,2.77039370475546E-07,1.8793232185732E-08,0,0,0,0.000191988548040141,1.26509400193903E-09,1.5840697712604E-13,1.45881888002043E-14,1.58024980969162E-09,-7.83790018604693E-14,1.93253773882945E-09,0,0,0,0,0,0,package://rohand_urdf_ros2/meshes_l/mf_slider_link.STL,1,1,1,1,0,0,0,0,0,0,package://rohand_urdf_ros2/meshes_l/mf_slider_link.STL,,镜向六电机灵巧手.STEP-1/镜向1.STEP-4,mf_slider_joint,mf_slider_axis,mf_slider_link,prismatic,-0.095789,0.010504,-0.001815,0,-0.00010039,-0.01323,base_link,1,0,0,0,0,-0.003,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mf_slider_abpart_link,-0.0102177751127501,6.32373028195549E-08,-0.00190285084370342,0,0,0,0.000457378814740125,2.64404249097883E-09,-1.05767936992347E-13,-3.61658487093865E-09,1.65925833113347E-08,-5.82951253194248E-14,1.62270595534221E-08,0,0,0,0,0,0,package://rohand_urdf_ros2/meshes_l/mf_slider_abpart_link.STL,1,1,1,1,0,0,0,0,0,0,package://rohand_urdf_ros2/meshes_l/mf_slider_abpart_link.STL,,镜向六电机灵巧手.STEP-1/镜向20.STEP-4,mf_slider_abpart_joint,mf_slider_abpart_axis,mf_slider_abpart_link,continuous,-0.0071723,0,0,-0.000062891,0.000099576,0,mf_slider_link,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mf_proximal_link,0.0383189384284983,-0.000510921133424859,-0.0158668059730641,0,0,0,0.102110343400807,9.82030706844826E-05,4.89564451125876E-06,-3.61758386166676E-05,0.000271614171542925,2.12855765977618E-05,0.000310529033143571,0,0,0,0,0,0,package://rohand_urdf_ros2/meshes_l/mf_proximal_link.STL,1,1,1,1,0,0,0,0,0,0,package://rohand_urdf_ros2/meshes_l/mf_proximal_link.STL,,镜向六电机灵巧手.STEP-1/镜向__________-1.STEP-1/镜向________-.STEP-1,mf_proximal_joint,mf_proximal_axis,mf_proximal_link,continuous,-0.11597,0.010647,0.0067882,0,0,-0.013245,base_link,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mf_distal_link,-0.0142677381345827,9.50657048358842E-05,-0.0186055678492405,0,0,0,0.00416341391410531,3.77812748566208E-07,2.94199752676133E-12,-2.51812168726416E-07,5.74328431040323E-07,4.24956688927597E-12,2.72235839168368E-07,0,0,0,0,0,0,package://rohand_urdf_ros2/meshes_l/mf_distal_link.STL,1,1,1,1,0,0,0,0,0,0,package://rohand_urdf_ros2/meshes_l/mf_distal_link.STL,,镜向六电机灵巧手.STEP-1/镜向__________-1.STEP-1/镜向____________-____-2.step.STEP-1,镜向六电机灵巧手.STEP-1/镜向__________-1.STEP-1/镜向M1.6______________________.STEP-3,镜向六电机灵巧手.STEP-1/镜向__________-1.STEP-1/镜向M1.6______________5.45______ -.STEP-1,镜向六电机灵巧手.STEP-1/镜向__________-1.STEP-1/镜向M1.6______________12.45______.STEP-1,镜向六电机灵巧手.STEP-1/镜向__________-1.STEP-1/镜向M1.6______________________.STEP-4,镜向六电机灵巧手.STEP-1/镜向__________-1.STEP-1/镜向______ - ____.STEP-1,mf_distal_joint,mf_distal_axis,mf_distal_link,continuous,-0.038293,0,-0.014673,0,0,0,mf_proximal_link,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
